,/gpu-intel/0xA7A1/power/0
Time,GPU Package
5:00:06,13.7723055
5:00:07,16.8969555
5:00:08,13.250555
5:00:09,8.081789
5:00:10,7.20811749
5:00:11,6.11440563
5:00:12,5.266363
5:00:13,6.017989
5:00:14,5.81890249
5:00:15,5.261734
5:00:16,5.34837627
5:00:17,5.13791847
5:00:18,6.081878
5:00:19,4.75309372
5:00:20,4.728367
5:00:21,7.782278
5:00:22,7.201482
5:00:23,7.285521
5:00:24,6.40106535
5:00:25,5.463631
5:00:26,5.9612813
5:00:27,9.02626
5:00:28,8.573928
5:00:29,13.58779
5:00:30,8.405017
5:00:31,6.62109852
5:00:32,13.2412825
5:00:33,12.0565195
5:00:34,6.18290329
5:00:35,8.393073
5:00:36,8.166367
5:00:37,6.477468
5:00:38,7.337864
5:00:39,5.46253347
5:00:40,8.466017
5:00:41,6.00039959
5:00:42,5.345975
5:00:43,5.22026825
5:00:44,5.9533596
5:00:45,4.78014231
5:00:46,6.206493
5:00:47,6.04492569
5:00:48,5.200966
5:00:49,10.555769
5:00:50,8.716894
5:00:51,10.7931623
5:00:52,20.9290276
5:00:53,24.0536079
5:00:54,23.5283165
5:00:55,24.7646236
5:00:56,19.772625
5:00:57,20.971468
5:00:58,21.8204632
5:00:59,20.9965572
5:01:00,22.9824238
5:01:01,24.2759247
5:01:02,15.42803
5:01:03,11.2487726
5:01:04,7.91467762
5:01:05,6.90065575
5:01:06,6.42303848
5:01:07,4.6726
5:01:08,13.8394661
5:01:09,10.4785662
5:01:10,5.93454456
5:01:11,18.8041229
5:01:12,17.4951134
5:01:13,14.3676968
5:01:14,24.2977619
5:01:15,7.697756
5:01:16,7.3163166
5:01:17,8.351202
5:01:18,6.41857052
5:01:19,6.44277668
5:01:20,4.08686352
5:01:21,4.15250349
5:01:22,6.32433033
5:01:23,5.76855946
5:01:24,6.419089
5:01:25,6.10424948
5:01:26,4.417482
5:01:27,3.882585
5:01:28,5.66029739
5:01:29,4.155444
5:01:30,4.234416
5:01:31,6.65282345
5:01:32,6.11485767
5:01:33,4.33173037
5:01:34,4.123262
5:01:35,4.042782
5:01:36,3.81105781
5:01:37,4.03887844
5:01:38,3.91696286
5:01:39,4.12009
5:01:40,3.98153281
5:01:41,4.34784269
5:01:42,4.605733
5:01:43,4.4185133
5:01:44,5.32321835
5:01:45,5.858775
5:01:46,3.989879
5:01:47,4.82558632
5:01:48,4.115111
5:01:49,6.17316961
5:01:50,6.340397
5:01:51,6.26788425
5:01:52,9.06537
5:01:53,7.49949741
5:01:54,6.54141
5:01:55,12.3071556
5:01:56,19.6481552
5:01:57,15.37279
5:01:58,15.3169975
5:01:59,17.15324
5:02:00,18.5730114
5:02:01,18.4768887
5:02:02,19.033968
5:02:03,19.523138
5:02:04,17.8338127
5:02:05,16.3685741
5:02:06,16.5840416
5:02:07,16.4079075
5:02:08,16.1548
5:02:09,16.7816238
5:02:10,16.14865
5:02:11,16.8951168
5:02:12,16.74764
5:02:13,15.9687538
5:02:14,17.5102673
5:02:15,17.3915672
5:02:16,12.2834358
5:02:17,11.3677616
5:02:18,11.3515043
5:02:19,11.3834324
5:02:20,11.5802107
5:02:21,11.5397949
5:02:22,12.2108622
5:02:23,11.44517
5:02:24,11.480752
5:02:25,11.8090935
5:02:26,12.21669
5:02:27,11.9533281
5:02:28,11.7504454
5:02:29,11.5484524
5:02:30,12.0101461
5:02:31,11.7925777
5:02:32,12.0871105
5:02:33,11.8779812
5:02:34,11.9260521
5:02:35,11.9771042
5:02:36,12.0502205
5:02:37,11.875371
5:02:38,11.8568144
5:02:39,11.6904345
5:02:40,11.7974873
5:02:41,12.249898
5:02:42,11.965889
5:02:43,12.30227
5:02:44,11.9038181
5:02:45,12.1096411
5:02:46,11.9417381
5:02:47,12.0885363
5:02:48,11.8795395
5:02:49,11.8648176
5:02:50,12.3379965
5:02:51,12.0678434
5:02:52,12.2254057
5:02:53,11.9059591
5:02:54,11.90329
5:02:55,12.1236057
5:02:56,12.0054245
5:02:57,11.9857559
5:02:58,11.8918409
5:02:59,12.0375252
5:03:00,11.8631268
5:03:01,11.7105427
5:03:02,11.87469
5:03:03,12.229063
5:03:04,12.2151308
5:03:05,11.62764
5:03:06,11.9118834
5:03:07,12.0995684
5:03:08,11.8087845
5:03:09,12.398942
5:03:10,11.9153509
5:03:11,12.0790482
5:03:12,11.8268633
5:03:13,12.082406
5:03:14,12.2467241
5:03:15,11.8459663
5:03:16,11.7234612
5:03:17,12.054039
5:03:18,11.9773445
5:03:19,12.1379557
5:03:20,11.790803
5:03:21,12.05
5:03:22,12.0629292
5:03:23,12.0005751
5:03:24,11.9435329
5:03:25,12.1270733
5:03:26,12.0641537
5:03:27,12.3074121
5:03:28,12.0028286
5:03:29,12.1471014
5:03:30,12.0432014
5:03:31,12.3086367
5:03:32,12.0384035
5:03:33,11.9605713
5:03:34,11.83117
5:03:35,12.261673
5:03:36,12.1198778
5:03:37,12.09878
5:03:38,11.6839123
5:03:39,11.8586788
5:03:40,12.0715466
5:03:41,12.2059078
5:03:42,11.7608385
5:03:43,12.1042376
5:03:44,12.1297932
5:03:45,12.1155758
5:03:46,12.3434591
5:03:47,11.9379
5:03:48,11.8263512
5:03:49,12.0930786
5:03:50,11.9520493
5:03:51,12.0223875
5:03:52,11.9019566
5:03:53,12.0381889
5:03:54,11.8637047
5:03:55,12.1655207
5:03:56,11.9331579
5:03:57,12.2990761
5:03:58,12.0908136
5:03:59,11.9963
5:04:00,11.9917717
5:04:01,12.2077055
5:04:02,11.94472
5:04:03,12.2101851
5:04:04,12.00692
5:04:05,12.4612055
5:04:06,11.9051275
5:04:07,12.1545258
5:04:08,9.179537
5:04:09,11.62579
5:04:10,13.693985
5:04:11,13.0091705
5:04:12,12.1719732
5:04:13,12.1118946
5:04:14,12.0078678
5:04:15,11.7685127
5:04:16,12.27049
5:04:17,11.639349
5:04:18,11.6309776
5:04:19,12.1743174
5:04:20,10.1326666
5:04:21,14.33406
5:04:22,11.9352236
5:04:23,11.8244209
5:04:24,12.0126352
5:04:25,11.7152071
5:04:26,11.9532366
5:04:27,11.8947535
5:04:28,12.148037
5:04:29,12.0529022
5:04:30,11.4997864
5:04:31,11.8682661
5:04:32,11.7147093
5:04:33,11.907877
5:04:34,11.9467869
5:04:35,11.8631649
5:04:36,12.1173449
5:04:37,11.9150677
5:04:38,12.09669
5:04:39,12.0974188
5:04:40,11.9706106
5:04:41,11.6603661
5:04:42,11.8161716
5:04:43,11.8458586
5:04:44,12.1241779
5:04:45,12.07448
5:04:46,11.874176
5:04:47,11.9658928
5:04:48,11.7986517
5:04:49,12.0490246
5:04:50,12.025197
5:04:51,12.316947
5:04:52,11.8632069
5:04:53,12.270936
5:04:54,12.0662336
5:04:55,11.8037891
5:04:56,11.8868027
5:04:57,12.2164421
5:04:58,12.1774483
5:04:59,11.8437872
5:05:00,11.856761
5:05:01,12.1662846
5:05:02,12.0541191
5:05:03,11.8927765
5:05:04,12.1173506
5:05:05,12.060894
5:05:06,12.0312052
5:05:07,12.0536461
5:05:08,11.9422083
5:05:09,12.0016727
5:05:10,11.9217615
5:05:11,11.7987633
5:05:12,12.0358257
5:05:13,11.8665085
5:05:14,12.0094252
5:05:15,12.1207275
5:05:16,11.9112959
5:05:17,12.2153254
5:05:18,11.9342928
5:05:19,12.1173973
5:05:20,12.0065079
5:05:21,12.0014267
5:05:22,11.869915
5:05:23,11.9233522
5:05:24,12.1381044
5:05:25,11.7838879
5:05:26,11.885273
5:05:27,12.0334625
5:05:28,12.0660343
5:05:29,11.8824177
5:05:30,11.9544888
5:05:31,11.9910383
5:05:32,12.080472
5:05:33,12.2793064
