,/intelcpu/0/load/2,/intelcpu/0/power/4
Time,CPU Core #1 Thread #1,CPU Platform
02/05/2026 09:31:42,37.5,11.5869932
02/05/2026 09:31:43,28.12,12.8277988
02/05/2026 09:31:44,14.93,13.2980537
02/05/2026 09:31:45,24.19,13.2848959
02/05/2026 09:31:46,15.62,12.8384752
02/05/2026 09:31:47,12.5,11.3581095
02/05/2026 09:31:48,4.69,11.4195976
02/05/2026 09:31:49,45.31,12.8281536
02/05/2026 09:31:49,20.31,12.8313131
02/05/2026 09:31:51,26.98,13.0105419
02/05/2026 09:31:52,38.46,12.5443373
02/05/2026 09:31:53,48.44,13.869874
02/05/2026 09:31:54,41.27,12.5861807
02/05/2026 09:31:55,42.19,12.4498119
02/05/2026 09:31:56,25,13.1766262
02/05/2026 09:31:57,53.85,14.4661589
02/05/2026 09:31:58,31.75,12.9112282
02/05/2026 09:31:59,38.46,12.52798
02/05/2026 09:32:00,23.44,11.7945614
02/05/2026 09:32:01,28.12,11.6801519
02/05/2026 09:32:02,32.81,12.5948381
