,/gpu-intel/0xA7A1/power/0
Time,GPU Package
15:39:31,5.5486455
15:39:32,6.54587746
15:39:33,7.10253954
15:39:34,9.784599
15:39:35,9.885093
15:39:36,10.3649778
15:39:37,8.67229
15:39:38,13.0560017
15:39:39,8.838551
15:39:40,8.959402
15:39:41,9.27043
15:39:42,8.886872
15:39:43,7.433288
15:39:44,11.732769
15:39:45,10.410265
15:39:46,7.88391638
15:39:47,8.642191
15:39:48,12.5681906
15:39:49,6.7852397
15:39:50,6.00944567
15:39:51,6.97724867
15:39:52,7.592168
15:39:53,6.94378662
15:39:54,6.74080324
15:39:55,6.76696968
15:39:56,5.747497
15:39:58,15.8087358
15:39:58,20.45369
15:40:00,16.0782986
15:40:01,16.8706169
15:40:01,18.4584255
15:40:02,13.6692476
15:40:03,15.9636612
15:40:05,18.1621189
15:40:06,18.1383
15:40:06,18.2599411
15:40:08,19.5608425
15:40:09,17.2739239
15:40:10,20.4609127
15:40:11,16.1813278
15:40:12,17.0803986
15:40:13,16.4028625
15:40:14,15.8422747
15:40:15,16.24895
15:40:16,16.40993
15:40:16,16.67013
15:40:17,16.5138531
15:40:19,16.744318
15:40:20,16.1562576
15:40:21,16.9018288
15:40:22,16.484808
15:40:23,16.5062828
15:40:24,16.92714
15:40:25,16.2054
15:40:26,16.7435188
15:40:27,15.6473322
15:40:28,16.4248772
15:40:29,16.5825062
15:40:30,16.73512
15:40:31,16.3354683
15:40:32,16.0416183
15:40:33,16.3797245
15:40:34,16.416
15:40:35,16.0818958
15:40:36,16.1320438
15:40:37,16.12399
15:40:38,15.95221
15:40:39,16.85073
15:40:40,17.0593052
15:40:41,16.236824
15:40:42,16.2872314
15:40:43,16.5149937
15:40:44,16.365509
15:40:45,16.8894978
15:40:46,16.1932945
15:40:47,16.40812
15:40:48,16.3516922
15:40:49,16.641428
15:40:50,16.0318584
15:40:51,16.0900116
15:40:52,16.05516
15:40:53,16.1303883
15:40:54,15.920784
15:40:55,16.5099583
15:40:56,17.2906647
15:40:57,17.0627937
15:40:58,16.2008972
15:40:59,16.4550953
15:41:00,17.013895
15:41:01,16.8090267
15:41:02,17.03389
15:41:03,16.7199345
15:41:04,16.4944019
15:41:05,17.26455
15:41:06,17.2088051
15:41:07,16.0617752
15:41:08,16.2902088
15:41:09,16.120863
15:41:10,16.8581924
15:41:11,16.2716141
15:41:12,17.5923424
15:41:13,16.7882175
15:41:14,16.92543
15:41:15,17.1079273
15:41:16,16.80445
15:41:17,16.3486767
15:41:18,16.6312084
15:41:19,16.5714054
15:41:20,16.3289089
15:41:21,16.4174118
15:41:22,16.9294472
15:41:23,17.3991966
15:41:24,17.5836163
15:41:25,16.6022243
15:41:26,17.2607
15:41:27,16.949255
15:41:28,16.0755653
15:41:29,16.71781
15:41:30,16.42685
15:41:31,16.7946186
15:41:32,16.3736763
15:41:33,16.3527927
15:41:34,16.6772423
15:41:35,17.0389519
15:41:36,17.0081577
15:41:37,17.0444832
15:41:38,16.8765125
15:41:39,16.7454338
15:41:40,16.4009171
15:41:41,16.5697651
15:41:42,16.5171375
15:41:43,16.69458
15:41:44,17.3863811
15:41:45,17.17775
15:41:46,17.3226585
15:41:47,17.0448246
15:41:48,16.5791416
15:41:49,17.0115147
15:41:50,16.664053
15:41:51,17.04844
15:41:52,16.9818668
15:41:53,16.71642
15:41:54,16.42114
15:41:55,16.8360653
15:41:56,16.98657
15:41:57,16.6450558
15:41:58,16.410799
15:41:59,16.9461918
15:42:00,17.13374
15:42:01,17.4022827
15:42:02,16.56636
15:42:03,17.3996849
15:42:04,16.7970619
15:42:05,17.04118
15:42:06,16.9744835
15:42:07,16.8332539
15:42:08,17.6422482
15:42:09,17.2965221
15:42:10,17.4051018
15:42:11,16.7616673
15:42:12,18.9873123
15:42:13,20.2811279
15:42:14,15.55228
15:42:15,16.55753
15:42:16,16.7719917
15:42:17,16.6756115
15:42:18,16.0310917
15:42:19,15.9923162
15:42:20,15.70742
15:42:21,15.9128542
15:42:22,16.3413029
15:42:23,21.1865387
15:42:24,17.2735386
15:42:25,16.7590027
15:42:26,15.9325352
15:42:27,16.25384
15:42:28,16.7968063
15:42:29,16.56757
15:42:30,16.6771145
15:42:31,16.34189
15:42:32,16.4232082
15:42:33,17.3590946
15:42:34,17.1708488
15:42:35,17.5387611
15:42:36,16.6613636
15:42:37,16.8570557
15:42:38,17.0435829
15:42:39,16.4413567
15:42:40,16.4410782
15:42:41,16.9507923
15:42:42,16.7312412
15:42:43,16.4777775
15:42:44,16.8678169
15:42:45,16.7704258
15:42:46,16.854681
15:42:47,16.8574142
15:42:48,17.1286373
15:42:49,16.82657
15:42:50,17.34366
15:42:51,17.1174145
15:42:52,16.41788
15:42:53,16.2047958
15:42:54,16.65072
15:42:55,16.6843739
15:42:56,16.5075455
15:42:57,16.1031075
15:42:58,16.3395443
15:42:59,17.1075859
15:43:00,17.1201477
15:43:01,16.52848
15:43:02,16.600132
15:43:03,17.1885624
15:43:04,17.0750484
15:43:05,15.8037777
15:43:06,16.6833534
15:43:07,16.6755333
15:43:08,16.089056
15:43:09,16.9852962
15:43:10,16.7447739
15:43:11,16.9565582
15:43:12,17.16883
15:43:13,16.48236
15:43:14,16.86182
15:43:15,17.2391186
15:43:16,16.4856758
15:43:17,16.6041565
15:43:19,16.6929932
15:43:20,17.0251675
15:43:20,17.6989174
15:43:21,17.8192482
15:43:22,17.4972286
15:43:23,16.8574314
15:43:24,16.4217014
15:43:25,16.158432
15:43:26,16.258543
15:43:27,16.9285011
15:43:28,16.7867222
15:43:29,16.913414
15:43:31,16.5457935
15:43:31,16.9771881
15:43:33,16.6498489
15:43:33,16.40597
15:43:35,16.67209
15:43:35,16.37298
15:43:36,16.5655861
15:43:38,16.5481853
15:43:38,16.4847889
15:43:40,16.78729
15:43:41,16.25363
15:43:42,16.2270222
15:43:43,16.303791
15:43:44,16.1453037
15:43:45,16.96759
15:43:46,16.5837975
15:43:47,17.06781
15:43:48,16.7987442
15:43:49,16.4226627
15:43:50,16.4436474
15:43:51,16.1614761
15:43:52,16.5045967
15:43:53,16.55637
15:43:54,16.6178265
15:43:55,16.4371185
15:43:56,16.6190052
15:43:57,16.5888824
15:43:58,17.32929
15:43:59,16.1128769
15:44:00,16.0246811
15:44:01,16.5887547
15:44:02,16.7948914
15:44:03,16.7058315
15:44:04,17.1072884
15:44:05,16.0515175
15:44:06,15.8014364
15:44:07,16.3970337
15:44:08,16.0546551
15:44:09,16.7778473
15:44:10,15.9460545
15:44:11,17.0410442
15:44:12,16.8099747
15:44:13,16.97357
15:44:14,16.6665535
15:44:15,16.1737289
15:44:16,16.773447
15:44:17,16.6732121
15:44:18,16.3519936
15:44:19,16.7228775
15:44:20,17.1995239
15:44:21,17.37116
15:44:22,15.4938059
15:44:23,15.2556715
15:44:24,16.2634125
15:44:25,14.9503546
